~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,6.5' Length Beige Line Hide SD144,,FALSE,~,"1"" BRASS","1"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (White) SD100,,FALSE,~,"1"" BRASS","1"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (White) SD100,,FALSE,~,"1"" BRASS","1"" x 1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (White) SD100,,FALSE,~,"1"" BRASS","1"" x 1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (White) SD100,,FALSE,~,"1"" BRASS","1"" x 3/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (White) SD100,,FALSE,~,"1"" BRASS","1"" x 3/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (White) SD100,,FALSE,~,"1"" BRASS","1"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x Shoulder Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x 2 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x 3 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (Brown) SD100,,FALSE,~,"1"" BRASS","1"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 4 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 5 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (Beige) SD100,,FALSE,~,"1"" BRASS","1"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (White) SD140,,FALSE,~,"1"" BRASS","1"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (White) SD140,,FALSE,~,"1"" BRASS","1"" Brass Run of Nipples",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (White) SD140,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (White) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (White) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (White) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (Brown) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Wall Inlet (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Soffit Inlet (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Offset (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Flat 90 Elbow (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 3/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Vertical 90 Elbow (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 3/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LINE HIDE,Couplings (Beige) SD140,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 1"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1-1/4"" BRASS","1-1/4"" x 1"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LEADER PIPE,White Leader Pipe ,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LEADER PIPE,Brown Leader Pipe,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x Shoulder Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LEADER PIPE,White Leader Straps,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,LEADER PIPE,Brown Leader Straps,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 2 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1-1/4"" BRASS","1-1/4"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DRAIN PIPE,3/4 PVC Pipe 10' Length,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 3 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DRAIN PIPE,Corrugated Ductless Tubing (Linear Feet),,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,DRAIN PIPE,3/8 Poly Vinyl Tubing (Linear Feet),,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 4 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1-1/4"" BRASS","1-1/4"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,ST-5 Expansion Tank,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 5 1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,ST-12 Expansion Tank,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,EX-15 Expansion Tank,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,EX-30 Expansion Tank,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,EX-60 Expansion Tank,,FALSE,~,"1-1/4"" BRASS","1-1/4"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,Feeder Back Flow Combo,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,115V Low Water Cut Off,,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,24V Low Water Cut Off,,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,Mixing Valve,,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,BOILER / HWH MATERIAL,Water Heater Drain Pan,,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1-1/2"" BRASS","1-1/2"" Brass 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"3/8"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"5/8"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"3/4"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"7/8"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"1-1/8"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"1-1/2"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"1-5/8"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,PIPE INSULATION,"2"" Armaflex Insulation (6' Lengths)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 3/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1-1/2"" BRASS","1-1/2"" x 3/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Pipe (Linear Feet)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Elbows",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Sticky Collar (ATD)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1-1/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Clinch Collar",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 1-1/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Top Take Off",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Saddle Collar",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x Shoulder Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" R-4 Flex",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" R-8 Flex",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 2-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval Pipe (Linear Feet)",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval to Round Straight",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 3-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval to Round Vertical",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval to Round Horizontal",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 4-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval Vertical 90",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" Oval Horizontal 90",,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 5-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x4x5 Straight Boot,,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x4x5 90 Boot,,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x4x5 Pencil Boot,,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x6x5 Straight Boot,,FALSE,~,"1-1/2"" BRASS","1-1/2"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x6x5 90 Boot,,FALSE,~,"1-1/2"" BRASS","1-1/2"" Brass Run of Nipples",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",12x6x5 Pencil Boot,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",6x6x5 Top Tap,,FALSE,~,"2"" BRASS","2"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",6x6x5 Side Tap,,FALSE,~,"2"" BRASS","2"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",8x8x5 Top Tap,,FALSE,~,"2"" BRASS","2"" Brass 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK",8x8x5 Side Tap,,FALSE,~,"2"" BRASS","2"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" 12x4 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" Brass 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" 12x6 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" 14x4 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"5"" DUCTWORK","5"" 14x6 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" Brass Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"2"" BRASS","2"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Pipe (Linear Feet)",,FALSE,~,"2"" BRASS","2"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Elbows",,FALSE,~,"2"" BRASS","2"" x 1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Sticky Collar (ATD)",,FALSE,~,"2"" BRASS","2"" x 1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Clinch Collar",,FALSE,~,"2"" BRASS","2"" x 3/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Top Take Off",,FALSE,~,"2"" BRASS","2"" x 3/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Saddle Collar",,FALSE,~,"2"" BRASS","2"" x 1"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" R-4 Flex",,FALSE,~,"2"" BRASS","2"" x 1"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" R-8 Flex",,FALSE,~,"2"" BRASS","2"" x 1-1/4"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval Pipe (Linear Feet)",,FALSE,~,"2"" BRASS","2"" x 1-1/4"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval to Round Straight",,FALSE,~,"2"" BRASS","2"" x 1-1/2"" Brass Reducing Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval to Round Vertical",,FALSE,~,"2"" BRASS","2"" x 1-1/2"" Brass Reducing Bushing",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval to Round Horizontal",,FALSE,~,"2"" BRASS","2"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval Vertical 90",,FALSE,~,"2"" BRASS","2"" x Shoulder Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" Oval Horizontal 90",,FALSE,~,"2"" BRASS","2"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x4x6 Straight Boot,,FALSE,~,"2"" BRASS","2"" x 2-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x4x6 90 Boot,,FALSE,~,"2"" BRASS","2"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x4x6 Pencil Boot,,FALSE,~,"2"" BRASS","2"" x 3-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x6x6 Straight Boot,,FALSE,~,"2"" BRASS","2"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x6x6 90 Boot,,FALSE,~,"2"" BRASS","2"" x 4-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",12x6x6 Pencil Boot,,FALSE,~,"2"" BRASS","2"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",6x6x6 Top Tap,,FALSE,~,"2"" BRASS","2"" x 5-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",6x6x6 Side Tap,,FALSE,~,"2"" BRASS","2"" x 6"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",8x8x6 Top Tap,,FALSE,~,"2"" BRASS","2"" x 8"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK",8x8x6 Side Tap,,FALSE,~,"2"" BRASS","2"" x 10"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" 12x4 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" x 12"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" 12x6 Oval Stack Head",,FALSE,~,"2"" BRASS","2"" Brass Run of Nipples",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" 14x4 Oval Stack Head",,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"6"" DUCTWORK","6"" 14x6 Oval Stack Head",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Pipe (Linear Feet)",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Elbows",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Sticky Collar (ATD)",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Clinch Collar",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Top Take Off",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Saddle Collar",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" R-4 Flex",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" R-8 Flex",,FALSE,~,"1/2"" BLACK PIPE","1/2"" Black Pipe Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval Pipe (Linear Feet)",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x Closed Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval to Round Straight",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 1 1/2"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval to Round Vertical",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 2"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval to Round Horizontal",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 2 1/2"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval Vertical 90",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 3"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK","7"" Oval Horizontal 90",,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 3 1/2"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK",12x4x7 Straight Boot,,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 4"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK",12x4x7 90 Boot,,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 4 1/2"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK",12x4x7 Pencil Boot,,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 5"" Black Pipe Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,"7"" DUCTWORK",12x6x7 Straight Boot,,FALSE,~,"1/2"" BLACK PIPE","1/2"" x 5 1/2"" Black Pipe Nipple",,FALSE,~
