~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,32x32x2 Condenser Pad,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Female Adaptor",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,32x32x8 H/P PAD,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,36x36x2 Condenser Pad,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,36x36x8 H/P PAD,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" x 1"" HDPE Tee",,FALSE,~
~,SEARCH TOOL,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,"1/2"" Whip",,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1-1/4"" HDPE Tee",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,"3/4"" Whip",,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1-1/4"" x 1-1/4"" HDPE Tee",,FALSE,~
~,MATERIAL NAME,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Disconnect,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" HDPE Reducer",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Drain Pan,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1-1/4"" HDPE Reducer",,FALSE,~
~,FITTING NAME,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,EZ-Trap,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Cap",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Pan Switch,,FALSE,~,~,~,~,~,~
~,CHOSEN ITEM,No Selection,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,R4 Bubble Wrap,,FALSE,~,"2"" HDPE","2"" HDPE 20' Pipe",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,R8 Bubble Wrap,,FALSE,~,"2"" HDPE","2"" HDPE 90",,FALSE,~
~,QUANTITY NEEDED,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,18/2 Thermostat Wire,,FALSE,~,"2"" HDPE","2"" HDPE Coupling",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,18/3 Thermostat Wire,,FALSE,~,"2"" HDPE","2"" HDPE 45",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,18/4 Thermostat Wire,,FALSE,~,"2"" HDPE","2"" HDPE Male Adaptor",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,18/6 Thermostat Wire,,FALSE,~,"2"" HDPE","2"" HDPE Female Adaptor",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,18/8 Thermostat Wire,,FALSE,~,"2"" HDPE","2"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,14/4 Black Wire,,FALSE,~,"2"" HDPE","2"" x 1"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,16/2 White Sheilded Cable,,FALSE,~,"2"" HDPE","2"" x 1"" x 1"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,115V Low Profile Condensate Pump,,FALSE,~,"2"" HDPE","2"" x 1-1/4"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,115V Condensate Pump,,FALSE,~,"2"" HDPE","2"" x 1-1/4"" x 1-1/4"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIALIZED DUCT WITH DRAWING,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,230V Low Profile Condensate Pump,,FALSE,~,"2"" HDPE","2"" x 1-1/2"" HDPE Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,GENERAL MATERIALS,230V Condensate Pump,,FALSE,~,"2"" HDPE","2"" x 1-1/2"" x 1-1/2"" HDPE Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,"2"" HDPE","2"" x 1-1/2"" x 1-1/4"" HDPE Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"2"" HDPE","2"" x 1-1/4"" x 1-1/2"" HDPE Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"2"" HDPE","2"" x 1"" HDPE Reducer",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"2"" HDPE","2"" x 1-1/4"" HDPE Reducer",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"2"" HDPE","2"" x 1-1/2"" HDPE Reducer",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"2"" HDPE","2"" HDPE Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,MISCELANEOUS GEO,"1"" Braided Hose",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,MISCELANEOUS GEO,"1"" Hose Barb x Male Adapters",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,MISCELANEOUS GEO,"Brass 1"" MPT X 1"" Barb 90 Elbow W/ PT",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,~,~,~,~,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Threaded Ball Valve",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Coupling",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Street 90",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass 45",,FALSE,~
