Category,System Type,System Size,Material Included,Quantity
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"3/4"" Whip",1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,Drain Pan,1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,EZ-Trap,1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,Pan Switch,1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,Foam Blocks,8
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,Disconnect,1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"3"" x 2"" PVC Reducer Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC Pipe (10' Length)",1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC Street 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC Street 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"2"" PVC Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"1/2"" Black Pipe Run of Nipples",1
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"1/2"" Black Pipe Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"1/2"" Black Pipe 90",2
90% FURNACE,90% FURNACE WITH H/P IN ATTIC,3.5 Ton to 5 Ton,"1/2"" Black Pipe Tee",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,32x32x8 H/P PAD,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"1/2"" Whip",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,Disconnect,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,EZ-Trap,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,Foam Blocks,8
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,Furnace Mounting Blocks,4
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"3"" x 2"" PVC Reducer Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC Pipe (10' Length)",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC Street 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC Street 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"2"" PVC Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"1/2"" Black Pipe Run of Nipples",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"1/2"" Black Pipe Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"1/2"" Black Pipe 90",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,1.5 Ton to 3 Ton,"1/2"" Black Pipe Tee",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,36x36x8 H/P PAD,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"3/4"" Whip",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,Disconnect,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,EZ-Trap,1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,Foam Blocks,8
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,Furnace Mounting Blocks,4
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"3"" x 2"" PVC Reducer Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC Pipe (10' Length)",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC Street 90 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC Street 45 Elbow",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"2"" PVC Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"1/2"" Black Pipe Run of Nipples",1
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"1/2"" Black Pipe Coupling",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"1/2"" Black Pipe 90",2
90% FURNACE,90% FURNACE WITH H/P IN BASEMENT,3.5 Ton to 5 Ton,"1/2"" Black Pipe Tee",1
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,1.5 Ton to 3 Ton,Furnace Mounting Blocks,4
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,1.5 Ton to 3 Ton,"5"" Smoke Pipe (Linear Feet)",4
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,1.5 Ton to 3 Ton,"5"" Smoke 90",2
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,1.5 Ton to 3 Ton,"5"" Smoke Tee",1
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,3.5 Ton to 5 Ton,Furnace Mounting Blocks,4
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,3.5 Ton to 5 Ton,"5"" Smoke Pipe (Linear Feet)",4
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,3.5 Ton to 5 Ton,"5"" Smoke 90",2
OIL FIRED FURNACE,OIL FIRED FURNACE ONLY,3.5 Ton to 5 Ton,"5"" Smoke Tee",1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,Furnace Mounting Blocks,4
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,"5"" Smoke Pipe (Linear Feet)",4
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,"5"" Smoke 90",2
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,"5"" Smoke Tee",1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,32x32x2 Condenser Pad,1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,"1/2"" Whip",1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,Disconnect,1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,1.5 Ton to 3 Ton,EZ-Trap,1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,Furnace Mounting Blocks,4
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,"5"" Smoke Pipe (Linear Feet)",4
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,"5"" Smoke 90",2
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,"5"" Smoke Tee",1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,36x36x2 Condenser Pad,1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,"3/4"" Whip",1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,Disconnect,1
OIL FIRED FURNACE,OIL FIRED FURNACE WITH A/C,3.5 Ton to 5 Ton,EZ-Trap,1
DUCTLESS CONDENSER,SINGLE FAN CONDENSER,1.5 Ton to 3 Ton,36x48x2 Condenser Pad,1
DUCTLESS CONDENSER,SINGLE FAN CONDENSER,1.5 Ton to 3 Ton,1201 Ductless Stand,1
DUCTLESS CONDENSER,SINGLE FAN CONDENSER,3.5 Ton to 5 Ton,36x48x2 Condenser Pad,1
DUCTLESS CONDENSER,SINGLE FAN CONDENSER,3.5 Ton to 5 Ton,1201 Ductless Stand,1
DUCTLESS CONDENSER,DOUBLE FAN CONDENSER,1.5 Ton to 3 Ton,36x48x2 Condenser Pad,1
DUCTLESS CONDENSER,DOUBLE FAN CONDENSER,1.5 Ton to 3 Ton,1202 Large Ductless Stand,1
DUCTLESS CONDENSER,DOUBLE FAN CONDENSER,3.5 Ton to 5 Ton,36x48x2 Condenser Pad,1
DUCTLESS CONDENSER,DOUBLE FAN CONDENSER,3.5 Ton to 5 Ton,1202 Large Ductless Stand,1
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press 90",6
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Coupling",4
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass 90",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass Tee",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" x 10"" Brass Nipple",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press 90",6
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Coupling",4
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Brass 90",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Brass Tee",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"1"" Connections (HWHs only)","1"" x 10"" Brass Nipple",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press 90",6
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Coupling",4
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Brass 90",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Brass Tee",1
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON GAS WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" x 10"" Brass Nipple",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press 90",6
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Coupling",4
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass 90",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass Tee",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" x 10"" Brass Nipple",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press 90",6
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Coupling",4
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Brass 90",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Brass Tee",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1"" Connections (HWHs only)","1"" x 10"" Brass Nipple",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Female Adapter",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press 90",6
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Coupling",4
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Brass 90",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Brass Tee",1
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" Pro Press Ball Valve",2
WATER HEATERS,50 GALLON ELECTRIC WATER HEATER,"1-1/4"" Connections (HWHs only)","1-1/4"" x 10"" Brass Nipple",1
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","1"" Female x 3/4"" Press Reducer",2
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","1"" Pro Press Female Adapter",2
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press 90",6
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Pro Press Coupling",2
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass Tee",1
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" Brass 90",1
WATER HEATERS,75 GALLON GAS WATER HEATER,"3/4"" Connections (HWHs only)","3/4"" x 10"" Brass Nipple",1
